Timestamp,Choose your username from the drop-down menu ,Has your opinion on Topic 1 changed during the process?,How exactly has your opinion on Topic 1 changed?,How sure are you of your opinion on Topic 1?,How would you rate the difficulty of working on Topic 1?,Has your opinion on Topic 2 changed during the process?,How exactly has your opinion on Topic 2 changed?,How sure are you of your opinion on Topic 2?,How would you rate the difficulty of working on Topic 2?
26.06.2025 12:29:01,Participant20,No,,I am as sure of my opinion as before,1,No,,I am as sure of my opinion as before,4
26.06.2025 12:31:18,Participant34,Yes,I have changed my opinion and no longer have a clear position,,1,No,,I am as sure of my opinion as before,2
26.06.2025 12:31:40,Participant30,No,,I am as sure of my opinion as before,2,No,,I am more sure of my opinion than before,1
26.06.2025 12:31:51,Participant53,No,,I am as sure of my opinion as before,2,No,,I am as sure of my opinion as before,4
26.06.2025 12:32:27,Participant5,No,,I am as sure of my opinion as before,5,No,,I am less sure of my opinion than before,3
26.06.2025 12:32:50,Participant27,No,,I am less sure of my opinion than before,3,No,,I am more sure of my opinion than before,4
26.06.2025 12:32:58,Participant44,No,,I am as sure of my opinion as before,4,No,,I am more sure of my opinion than before,3
26.06.2025 12:33:07,Participant42,No,,I am as sure of my opinion as before,3,No,,I am less sure of my opinion than before,3
26.06.2025 12:33:17,Participant21,No,,I am as sure of my opinion as before,2,No,,I am as sure of my opinion as before,2
26.06.2025 12:34:18,Participant6,No,,I am as sure of my opinion as before,4,No,,I am as sure of my opinion as before,2
26.06.2025 12:34:34,Participant50,No,,I am less sure of my opinion than before,4,No,,I am as sure of my opinion as before,2
26.06.2025 12:34:51,Participant45,Yes,"I had no opinion before, now I tend to support one of the two sides",,4,Yes,"I had no opinion before, now I tend to support one of the two sides",,4
26.06.2025 12:35:01,Participant38,No,,I am as sure of my opinion as before,4,No,,I am as sure of my opinion as before,2
26.06.2025 12:35:12,Participant31,No,,I am as sure of my opinion as before,2,No,,I am more sure of my opinion than before,2
26.06.2025 12:35:54,Participant15,No,,I am as sure of my opinion as before,3,No,,I am more sure of my opinion than before,4
26.06.2025 12:40:45,Participant52,No,,I am as sure of my opinion as before,2,No,,I am more sure of my opinion than before,1
26.06.2025 12:48:29,Participant7,No,,I am more sure of my opinion than before,4,No,,I am as sure of my opinion as before,3
26.06.2025 12:48:55,Participant23,No,,I am as sure of my opinion as before,4,Yes,"I had no opinion before, now I tend to support one of the two sides",,4
26.06.2025 12:49:24,Participant47,No,,I am as sure of my opinion as before,1,No,,I am as sure of my opinion as before,1
26.06.2025 12:49:27,Participant17,No,,I am as sure of my opinion as before,2,No,,I am as sure of my opinion as before,4
26.06.2025 12:49:39,Participant25,No,,I am as sure of my opinion as before,4,No,,I am as sure of my opinion as before,4
